Train Start,Train End,Val R2,Test R2,Validation Cumulative Return,Validation Sharpe Ratio,Test Sharpe,Test Return,Final Val Capital,Final Test Capital,Total Val Profit,Total Test Profit,Average PnL,Average PnL (%)
1980,2021-12-31,0.3522104341392509,0.1434775961753077,12.34862720698712,8.566176606996112,7.086063128624813,2.6137329242872087,13348627.20698712,3613732.924287209,12348627.20698712,2613732.924287209,5218.817566599981,0.5218817566599981
1981,2021-12-31,0.3531850080203583,0.1520585128404359,12.615402076953806,8.66949481883694,7.215015965088886,2.67556392337099,13615402.076953806,3675563.9233709895,12615402.076953806,2675563.9233709895,5286.382290448312,0.5286382290448313
1982,2021-12-31,0.3500457386104662,0.1498580643687372,12.50197063628628,8.630176893862506,7.022794522603953,2.5761631890054772,13501970.63628628,3576163.189005478,12501970.63628628,2576163.189005478,5176.905250873867,0.5176905250873867
1983,2021-12-31,0.3489710522759417,0.1519580005120062,11.753151665910682,8.23852147980101,7.016055261052186,2.566538749984072,12753151.665910682,3566538.749984072,11753151.665910682,2566538.749984072,5165.917160988041,0.5165917160988042
1984,2021-12-31,0.3377757714207724,0.1513726575069279,11.986720343142984,8.315737024600512,6.9530295012420895,2.5292881761712067,12986720.343142984,3529288.176171207,11986720.343142984,2529288.176171207,5123.803079792962,0.5123803079792962
1985,2021-12-31,0.3406477536394923,0.1662702973378694,12.203308579929834,8.35011000234163,7.047993944665449,2.5655515975956793,13203308.579929834,3565551.597595679,12203308.579929834,2565551.597595679,5164.178246399256,0.5164178246399256
1986,2021-12-31,0.3392459556038288,0.168592573559199,12.40887128943008,8.406507241119154,7.11069736042169,2.625260410515134,13408871.28943008,3625260.4105151338,12408871.28943008,2625260.4105151333,5231.489541499369,0.5231489541499369
1987,2021-12-31,0.3393208410306674,0.1628848970339595,13.30854196261906,8.580578774190307,7.10658366255992,2.6139548171501623,14308541.96261906,3613954.8171501625,13308541.96261906,2613954.8171501625,5218.687690957899,0.5218687690957899
1988,2021-12-31,0.3347946259242363,0.1617472350467322,14.206233744886962,8.885780973737175,6.986458411779745,2.5494981664277536,15206233.744886965,3549498.1664277534,14206233.744886965,2549498.1664277534,5146.722042251678,0.5146722042251678
1989,2021-12-31,0.335366286654621,0.1616723543757178,14.398607457789002,8.944653355910566,6.945982702860374,2.522665027439674,15398607.457789002,3522665.027439674,14398607.457789002,2522665.027439674,5116.188118015195,0.5116188118015195
