Train Start,Train End,Val R2,Test R2,Validation Cumulative Return,Validation Sharpe Ratio,Test Sharpe,Test Return,Final Val Capital,Final Test Capital,Total Val Profit,Total Test Profit,Average PnL,Average PnL (%)
1980,2021-12-31,-0.7918002046313659,-0.5096787256067024,0.9332606448868028,0.4028367686754155,-0.6101977821973517,-0.7285366580228687,1933260.6448868029,271463.3419771313,933260.6448868028,-728536.6580228687,-572.5832318170168,-0.0572583231817016
1981,2021-12-31,-0.8372428763950659,-0.4878169527923726,0.728987342714885,0.3345635054505423,-0.6061268179648025,-0.7260409153995104,1728987.342714885,273959.0846004896,728987.342714885,-726040.9153995104,-567.4893613889674,-0.0567489361388967
1982,2021-12-31,-0.2651860520852143,-0.4026870185385935,42.43650970276152,2.419864357723257,-0.6399566539399745,-0.7381422084917482,43436509.70276152,261857.7915082518,42436509.70276152,-738142.2084917482,-611.7671847821446,-0.0611767184782144
1983,2021-12-31,-0.1320275460907363,-0.4171113533097124,146.28264968105856,3.257365849168213,-0.8043268156970229,-0.8041271066379407,147282649.68105856,195872.8933620593,146282649.68105856,-804127.1066379407,-816.2273396598439,-0.0816227339659843
1984,2021-12-31,-1.143610748729429,-0.4258550020774543,110.17759756585735,3.0758723516014577,-0.8029308180881777,-0.7920623350679876,111177597.56585737,207937.66493201233,110177597.56585737,-792062.3350679877,-807.4518003400367,-0.0807451800340036
1985,2021-12-31,-0.5097186976350649,-0.4013321966915222,70.88510220041955,2.964141094456357,-0.7325638192642363,-0.7557584743678357,71885102.20041956,244241.52563216432,70885102.20041956,-755758.4743678357,-723.7165318679075,-0.0723716531867907
1986,2021-12-31,-0.5499167970389205,-0.411561302325893,43.62302226762107,2.6688446606942446,-0.8004386678254523,-0.7777696763323739,44623022.26762107,222230.32366762613,43623022.26762107,-777769.6763323739,-810.2558446159485,-0.0810255844615948
1987,2021-12-31,-0.3331507100821276,-0.4014420230106761,45.10437028775395,2.7990533349359983,-0.7414519528322444,-0.7458242116218242,46104370.287753955,254175.7883781758,45104370.287753955,-745824.2116218242,-740.4989583948988,-0.0740498958394898
1988,2021-12-31,-0.2090062553275649,-0.3684974442028816,35.46193248704314,2.6808645493147667,-0.73508504181336,-0.7337229185295862,36461932.48704314,266277.08147041383,35461932.48704314,-733722.9185295862,-732.7582403262912,-0.0732758240326291
1989,2021-12-31,-0.3822129936321552,-0.3195900550640314,10.53531897840925,1.858202608894658,-0.645567924603353,-0.6802532178693443,11535318.978409251,319746.7821306557,10535318.978409251,-680253.2178693443,-622.0109825499934,-0.0622010982549993
