Date,Adj Close,Close,High,Low,Open,Volume
2016-02-24,5.25,5.25,5.25,5.25,5.25,200
2016-02-25,5.25,5.25,5.25,5.25,5.25,167
2016-02-26,6.150000095367432,6.150000095367432,6.150000095367432,6.150000095367432,6.150000095367432,233
2016-02-29,6.449999809265137,6.449999809265137,6.449999809265137,6.449999809265137,6.449999809265137,267
2016-03-01,6.449999809265137,6.449999809265137,6.449999809265137,6.449999809265137,6.449999809265137,0
2016-03-02,6.449999809265137,6.449999809265137,6.449999809265137,6.449999809265137,6.449999809265137,0
2016-03-03,6.0,6.0,6.0,6.0,6.0,267
2016-03-04,6.75,6.75,6.75,6.75,6.75,267
2016-03-07,7.5,7.5,7.5,7.5,7.5,267
2016-03-08,7.5,7.5,7.5,7.5,7.5,0
2016-03-09,7.5,7.5,7.5,7.5,7.5,0
2016-03-10,7.5,7.5,7.5,7.5,7.5,0
2016-03-11,7.5,7.5,7.5,7.5,7.5,0
2016-03-14,7.5,7.5,7.5,7.5,7.5,0
2016-03-15,7.5,7.5,7.5,7.5,7.5,0
2016-03-16,7.5,7.5,7.5,7.5,7.5,0
2016-03-17,7.5,7.5,7.5,7.5,7.5,0
2016-03-18,7.5,7.5,7.5,7.5,7.5,0
2016-03-21,7.5,7.5,7.5,7.5,7.5,0
2016-03-22,7.5,7.5,7.5,7.5,7.5,0
2016-03-23,7.5,7.5,7.5,7.5,7.5,0
2016-03-24,7.5,7.5,7.5,7.5,7.5,0
2016-03-28,7.5,7.5,7.5,7.5,7.5,0
2016-03-29,7.5,7.5,7.5,7.5,7.5,0
2016-03-30,7.5,7.5,7.5,7.5,7.5,0
2016-03-31,7.5,7.5,7.5,7.5,7.5,0
2016-04-01,7.5,7.5,7.5,7.5,7.5,0
2016-04-04,7.5,7.5,7.5,7.5,7.5,0
2016-04-05,7.5,7.5,7.5,7.5,7.5,0
2016-04-06,7.5,7.5,7.5,7.5,7.5,0
2016-04-07,7.5,7.5,7.5,7.5,7.5,0
2016-04-08,7.5,7.5,7.5,7.5,7.5,0
2016-04-11,7.5,7.5,7.5,7.5,7.5,0
2016-04-12,7.5,7.5,7.5,7.5,7.5,0
2016-04-13,7.5,7.5,7.5,7.5,7.5,0
2016-04-14,7.5,7.5,7.5,7.5,7.5,0
2016-04-15,7.5,7.5,7.5,7.5,7.5,0
2016-04-18,7.5,7.5,7.5,7.5,7.5,0
2016-04-19,7.5,7.5,7.5,7.5,7.5,0
