Date,Adj Close,Close,High,Low,Open,Volume
2015-05-04,71.5,71.5,73.75,69.75,70.5,21624
2015-05-05,149.25,149.25,194.25,108.25,113.5,2504692
2015-05-06,215.0,215.0,278.75,205.0,227.5,2604408
2015-05-07,182.5,182.5,262.5,179.25,256.75,702860
2015-05-08,183.5,183.5,198.75,166.5,183.75,273012
2015-05-11,245.0,245.0,245.0,185.0,189.0,559008
2015-05-12,225.0,225.0,257.25,220.25,226.5,657064
2015-05-13,215.0,215.0,232.25,213.75,222.5,162564
2015-05-14,208.5,208.5,237.25,201.25,234.75,224692
2015-05-15,199.5,199.5,211.0,195.0,199.75,103352
2015-05-18,231.75,231.75,236.0,201.25,211.25,226424
2015-05-19,237.5,237.5,270.75,226.75,229.0,606120
2015-05-20,232.5,232.5,271.25,226.0,254.75,336100
2015-05-21,221.25,221.25,238.5,217.0,230.75,73032
2015-05-22,219.0,219.0,227.0,215.0,220.0,41748
2015-05-26,224.75,224.75,228.25,213.75,215.5,46908
2015-05-27,221.25,221.25,248.25,219.0,229.75,133204
2015-05-28,217.0,217.0,227.5,214.25,222.0,70020
2015-05-29,196.25,196.25,216.5,192.0,215.0,80552
2015-06-01,177.0,177.0,195.0,177.0,191.5,69332
2015-06-02,192.25,192.25,200.0,177.0,177.0,52092
2015-06-03,185.5,185.5,196.5,183.0,190.75,54480
2015-06-04,181.0,181.0,192.5,178.75,185.0,26432
2015-06-05,182.5,182.5,189.25,179.25,184.5,27540
2015-06-08,186.25,186.25,205.0,186.0,199.5,210864
2015-06-09,181.75,181.75,188.5,178.0,186.5,39040
2015-06-10,176.75,176.75,184.0,172.0,180.0,37636
2015-06-11,188.5,188.5,201.0,185.5,200.25,172420
2015-06-12,183.25,183.25,189.75,180.25,183.0,24044
2015-06-15,183.0,183.0,191.0,178.5,187.75,51088
2015-06-16,177.0,177.0,184.0,176.75,180.5,28020
2015-06-17,172.75,172.75,179.0,172.0,175.5,28820
2015-06-18,163.25,163.25,173.5,162.25,172.5,48412
2015-06-19,165.25,165.25,168.0,156.25,165.5,32616
2015-06-22,166.25,166.25,168.5,157.5,165.25,4876
2015-06-23,171.0,171.0,178.75,162.75,162.75,25448
2015-06-24,159.25,159.25,172.25,158.0,171.75,31544
2015-06-25,158.5,158.5,162.0,155.25,158.0,14412
2015-06-26,154.25,154.25,159.75,150.0,159.0,78740
2015-06-29,145.25,145.25,154.75,138.0,152.0,19176
2015-06-30,126.5,126.5,142.5,122.0,142.0,45528
2015-07-01,124.75,124.75,132.0,124.5,126.5,19244
2015-07-02,127.5,127.5,131.25,124.5,125.75,14976
2015-07-06,120.0,120.0,127.25,115.75,126.25,25608
2015-07-07,120.75,120.75,121.25,115.5,116.25,16788
2015-07-08,118.25,118.25,120.5,116.25,117.5,9344
2015-07-09,126.75,126.75,127.75,119.0,120.25,13624
2015-07-10,138.75,138.75,142.0,125.25,125.25,15200
2015-07-13,166.5,166.5,168.0,140.0,140.25,27032
2015-07-14,160.25,160.25,167.0,153.75,166.25,16684
2015-07-15,151.0,151.0,160.25,149.25,160.25,14008
2015-07-16,141.5,141.5,154.5,140.0,152.5,12688
2015-07-17,150.0,150.0,152.75,138.25,141.5,10128
2015-07-20,144.75,144.75,160.0,142.0,157.5,16784
2015-07-21,144.5,144.5,145.75,140.75,145.25,5312
2015-07-22,147.5,147.5,150.0,137.5,142.25,5608
2015-07-23,147.5,147.5,153.0,146.0,147.5,11384
2015-07-24,143.5,143.5,151.75,142.75,147.25,9808
2015-07-27,136.5,136.5,146.5,134.5,143.75,9792
2015-07-28,148.75,148.75,152.5,137.75,146.5,16036
2015-07-29,153.0,153.0,159.0,144.75,150.0,10244
