Date,Adj Close,Close,High,Low,Open,Volume
1973-02-21,0.9677731990814209,5.28125,5.28125,5.28125,0.0,5600
1973-02-22,0.9563201069831848,5.21875,5.21875,5.21875,0.0,6800
1973-02-23,0.9276873469352722,5.0625,5.0625,5.0625,0.0,4800
1973-02-26,0.9162344336509705,5.0,5.0,5.0,0.0,5200
1973-02-27,0.9334141612052917,5.09375,5.09375,5.09375,0.0,9600
1973-02-28,0.9391403198242188,5.125,5.125,5.125,0.0,4000
1973-03-01,0.9391403198242188,5.125,5.125,5.125,0.0,5600
1973-03-02,0.9391403198242188,5.125,5.125,5.125,0.0,1600
1973-03-05,0.9391403198242188,5.125,5.125,5.125,0.0,1600
1973-03-06,0.9391403198242188,5.125,5.125,5.125,0.0,1200
1973-03-07,0.9391403198242188,5.125,5.125,5.125,0.0,6800
1973-03-08,0.9334141612052917,5.09375,5.09375,5.09375,0.0,3600
1973-03-09,0.9276873469352722,5.0625,5.0625,5.0625,0.0,5200
1973-03-12,0.9391403198242188,5.125,5.125,5.125,0.0,800
1973-03-13,0.9448670744895935,5.15625,5.15625,5.15625,0.0,6000
1973-03-14,0.9734995365142822,5.3125,5.3125,5.3125,0.0,13600
1973-03-15,0.9792261719703674,5.34375,5.34375,5.34375,0.0,5200
1973-03-16,0.9734995365142822,5.3125,5.3125,5.3125,0.0,6400
1973-03-19,0.9620464444160461,5.25,5.25,5.25,0.0,9200
1973-03-20,0.9563201069831848,5.21875,5.21875,5.21875,0.0,400
1973-03-21,0.9563201069831848,5.21875,5.21875,5.21875,0.0,5600
1973-03-22,0.950593113899231,5.1875,5.1875,5.1875,0.0,2000
1973-03-23,0.950593113899231,5.1875,5.1875,5.1875,0.0,1200
1973-03-26,0.950593113899231,5.1875,5.1875,5.1875,0.0,2000
1973-03-27,0.9563201069831848,5.21875,5.21875,5.21875,0.0,2400
1973-03-28,0.9563201069831848,5.21875,5.21875,5.21875,0.0,4400
1973-03-29,0.9906787276268005,5.40625,5.40625,5.40625,0.0,14000
1973-03-30,0.9964050054550171,5.4375,5.4375,5.4375,0.0,16800
1973-04-02,0.9964050054550171,5.4375,5.4375,5.4375,0.0,2000
1973-04-03,0.9964050054550171,5.4375,5.4375,5.4375,0.0,8800
1973-04-04,0.9964050054550171,5.4375,5.4375,5.4375,0.0,1600
1973-04-05,0.9849523305892944,5.375,5.375,5.375,0.0,3200
1973-04-06,0.9849523305892944,5.375,5.375,5.375,0.0,1600
1973-04-09,0.9906787276268005,5.40625,5.40625,5.40625,0.0,5200
1973-04-10,1.0021319389343262,5.46875,5.46875,5.46875,0.0,12400
